t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4,a_x,a_y,a_z
1681370730.815132,-4.0,-3.0,-1.9877843714172645,-0.02538849044803337,-0.0670340318742059,0.5198005023765978,1.0,0.0,0.0,0.0,0.0518218240616118,0.06718875920611637,0.04854418046773972,0.1404343573447242,5.999678712533527,5.267639779467604,-0.17254902240574443,0.0,0.0,0.0
1681370730.8241663,-4.0,-3.0,-1.9824229473392052,0.04395026067095669,0.0029967660847830223,0.6484400733971795,1.0,0.0,0.0,0.0,0.03361610859298863,-0.04540164286814013,0.05329389986761468,0.22587522916413,5.999952419279037,5.579824829918981,-0.3302235581073983,0.0,0.0,0.0
1681370730.831985,-4.000000231010467,-2.9999997549462174,-1.9763819574195698,0.04306921339128924,-0.07437697516733187,0.5665397326546922,0.9999881572223012,0.003627029872638253,0.003243421407834132,-0.0001014249510547,0.9911130038958194,0.8244835213845924,0.05711030421099297,0.32518396303185526,5.999956732791687,5.2817271144617814,-0.4936116625430201,0.0,0.0,0.0
1681370730.8395197,-4.0000032494334095,-2.9999963636508284,-1.9697860791839763,0.06372788158750689,0.04162577387245996,0.6689340772879397,0.9998684394301381,0.012040582589286308,0.010863168551430661,-0.0003460801557125745,1.9603472087875116,1.6813619934928037,-0.14174700422040662,0.4688681634484216,5.999948972018814,5.415083145798639,-0.8157441517570228,0.0,0.0,0.0
1681370730.845349,-4.000016053336357,-2.999981978165814,-1.9626631439046536,-0.04532148852309607,0.06322093391069142,0.7479743546127987,0.9994615664789859,0.02430628337032462,0.02202749517981227,-0.0007557619972841839,2.5018246452868595,2.320150313014518,-0.15701690487242237,0.6237686786025444,5.999944730867298,4.801017971998947,-0.618910614591921,0.0,0.0,0.0
1681370730.8515377,-4.000055255131009,-2.999938027288366,-1.9551624089367161,-0.04361474046623701,-0.0055017153861955485,0.7614150304995037,0.9985751800654069,0.03969666086393659,0.03563501954929064,-0.0013893362860096612,3.1156997373372954,2.83353588771729,-0.15436724897998047,0.7982133256973327,5.9999282986513816,4.351806253911261,-0.36402632440806654,0.0,0.0,0.0
1681370730.8627129,-4.0001501064546545,-2.9998310596112323,-1.9474810497098418,-0.014865867731786324,0.07378481038247844,0.8475804849619669,0.9970429410636711,0.05777721737971538,0.05061374902637985,-0.002327066061997741,3.585865910745285,3.115623340472716,-0.13120331676899738,0.9568584834980742,5.9999562760770395,4.0228632644363005,-0.10112773814114712,0.0,0.0,0.0
1681370730.8736258,-4.000346225907109,-2.9996065721427896,-1.9398316791795138,0.02718252660791833,0.0012655388554820637,0.8026990954012865,0.994733685415127,0.07792742100806996,0.06648181883192221,-0.0035185110870737135,4.162660301146144,3.1401462213407556,-0.3122403217757385,0.9685581839400113,5.999853965985376,4.165111320176559,-0.27544875896703863,0.0,0.0,0.0
1681370730.886074,-4.000708597827117,-2.9991840649193184,-1.9324633315034874,-0.07500008418970816,-0.01468299953650172,0.6867598738910536,0.9915262868588856,0.09969421981486531,0.08314464815315449,-0.0048633822412451145,4.431724885763995,3.2914388166848605,-0.2787659746181216,0.973225908021208,5.999746653158045,3.8992114527461155,-0.2553641600719178,0.0,0.0,0.0
1681370730.8934734,-4.001311648184073,-2.998467797240473,-1.9255650609728305,-0.008619624298512235,0.04689026484481433,0.7309911327072582,0.9873398116392242,0.12276639168208761,0.10024107656198446,-0.00634318494729601,4.633833804051779,3.38236920368772,-0.1991077845703617,0.9764625657208191,5.99989243239101,3.8614743197321673,-0.18092806645180712,0.0,0.0,0.0
