t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4,a_x,a_y,a_z
1680868540.5688286,-4.0,-3.0,-0.31270007511754505,-0.02258150404109566,0.022016214285346846,5.426835485192757,1.0,0.0,0.0,0.0,-0.0032406675538372513,-0.047728610950765374,-0.012382296619772682,0.9080038992778482,5.3561503654922396,5.365248241957058,0.15646183387562504,0.0,0.0,0.0
1680868540.5944033,-4.0,-3.0,-0.08596776866937919,0.0792344982180636,-0.010484840703280174,5.878578504910035,1.0,0.0,0.0,0.0,-0.04656820426406647,0.033619525242944516,-0.02693708790120406,0.9199148912772164,4.6253514220448695,4.73873807791364,0.12004580662060833,0.0,0.0,0.0
1680868540.620977,-4.000007035396067,-2.999992539310014,0.09120302257950688,-0.0705117524075656,0.06766746254504423,5.8704128963622075,0.9998804084363558,0.010926733192315281,0.010944141226348233,-3.3161846515916964e-05,1.6499977950318183,1.7819677118760693,-0.04154064591631319,0.979079138469686,2.879721171749642,3.0020865288595693,-0.0031469143090243424,0.0,0.0,0.0
1680868540.645227,-4.000297535886066,-2.99969144386766,0.2663861496843427,0.0016915188398619642,0.06773286983932374,5.742609911476365,0.9975768628996625,0.0489285781989766,0.04945688218799202,0.0006431538990624285,2.954299104169079,3.054748418717007,0.1278563661072172,0.9999974350159639,2.9150273089875656,3.092205944777888,0.12785579157937998,0.0,0.0,0.0
1680868540.6696756,-4.001168506973233,-2.9987995801128116,0.37965326429634855,-0.07843937386245084,0.05544140841326867,5.560479696393034,0.9937592845343052,0.07828712108491585,0.07944513624210202,0.001442706337322177,2.8442888140583427,2.981782326879321,0.07392220848900465,0.9999595176208693,2.8199560997521465,3.0004230000666916,0.07399123094260966,0.0,0.0,0.0
1680868540.6986916,-4.00316736441648,-2.9967693109573736,0.4889912586240061,-0.1565376496868245,0.16714052974010685,5.375284857025277,0.9881615130663127,0.1074255858374474,0.10950504072554683,0.002283343529371042,2.8846337429294966,2.996059054971375,0.12332885152730097,0.9841653446044729,1.922821587286552,2.1019247299787964,0.15238495758564255,0.0,0.0,0.0
1680868540.7283676,-4.0095006754498055,-2.990390933589387,0.644685008836681,-0.34498545080068205,0.3172630389951158,5.001361270591598,0.9764828757364785,0.1504837345955274,0.15434308296170768,0.0037485673897444697,2.8335072435013733,3.0635732992440388,0.03578295244178044,0.9595933863409141,0.4564626980962552,0.708400518383781,0.10991420817289148,0.0,0.0,0.0
1680868540.7592988,-4.0214327301034825,-2.978470539462056,0.7903325538688835,-0.5243289930137809,0.5650258682571473,4.744750639469076,0.9618562038989708,0.1904194161662977,0.19632762939985154,0.005343304425403957,2.544487387169256,2.805028051384554,0.058980924078103736,0.9543553821303644,-0.13685021272607348,0.1429185423566232,0.14262842693062464,0.0,0.0,0.0
1680868540.7839656,-4.04042317964201,-2.95962718451424,0.9268680591302586,-0.7121696512044176,0.8275291240205369,4.355661292027791,0.9475898309042512,0.22177818701947938,0.2298571661105409,0.007323340551744202,1.8490529208765727,2.038749744201841,0.1366196666423244,0.9618992348083987,-0.39551982997716234,-0.1808047935600765,0.2065224955815497,0.0,0.0,0.0
1680868540.8079169,-4.067431155937739,-2.9329964753495754,1.055564153249218,-1.0847452565746687,1.0302415920628707,4.121206059971581,0.9372006961129459,0.2412131413349168,0.2517500519015791,0.009642977771593203,1.0150073802797883,1.351759412118205,0.2101437592846119,0.970254139066922,-0.6086470025454347,-0.38572964168417867,0.2607069594212409,0.0,0.0,0.0
