t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4,a_x,a_y,a_z
1682243122.11327,1.1507866382598877,1.1985090970993042,-3.7391130924224854,-0.0033540993463248014,0.002284817397594452,-2.4029500484466553,0.9997578263282776,-0.005894698202610016,0.011425408534705639,-0.017862645909190178,0.0006011083023622632,-0.00045868646702729166,-0.0017024381086230278,4.779576965150146e-05,0.0003659192323237832,-4.5305954186570943e-05,-0.001705170895678717,0.22233846783638,0.14257150888442993,-9.821796417236328
1682243122.1228025,1.1507233381271362,1.1985387802124023,-3.761887550354004,-0.0035012043081223965,0.002373552182689309,-2.4027509689331055,0.9997577667236328,-0.005897128488868475,0.011424208991229534,-0.017867449671030045,5.2642491937149316e-05,0.00031588668935000896,-0.0009100299212150276,0.10310616741034496,-5.999937372576213,5.999919319889681,0.18601339182398852,0.22233846783638,0.14257150888442993,-9.821796417236328
1682243122.1277118,1.1505979299545288,1.1985994577407837,-3.807464361190796,-0.0036109760403633118,0.0023067293222993612,-2.4022257328033447,0.9997575879096985,-0.0059026977978646755,0.011427135206758976,-0.017872551456093788,-0.00033262246870435774,0.0002905854780692607,-0.0007690514903515577,0.10310799130010227,-5.999946556971531,5.999962551897915,0.18614135860868367,0.222263365983963,0.09796790778636932,-9.794705390930176
1682243122.1376693,1.1505376100540161,1.198627233505249,-3.8300302028656006,-0.0036109648644924164,0.0022630742751061916,-2.4016714096069336,0.9997574090957642,-0.005903763230890036,0.011429239995777607,-0.017882337793707848,0.000663386657834053,0.00012977929145563394,-0.0018475487595424056,0.10310528149608073,-5.999946898548917,5.999960773428994,0.18510404196691801,0.21760332584381104,0.11936089396476746,-9.781111717224121
1682243122.1497085,1.1504772901535034,1.1986563205718994,-3.8526995182037354,-0.0036839167587459087,0.0025386367924511433,-2.401275873184204,0.9997572898864746,-0.005905569065362215,0.011428569443523884,-0.017887797206640244,-0.00015418084512930363,-8.517935930285603e-05,-0.0015119012678042054,0.10311056530635133,-5.999946833127611,5.999958723294165,0.18541108178508237,0.21760332584381104,0.11936089396476746,-9.781111717224121
1682243122.159346,1.1504192352294922,1.1986862421035767,-3.8753387928009033,-0.0036266804672777653,0.002592198783531785,-2.400909185409546,0.9997573494911194,-0.00590289244428277,0.011428139172494411,-0.01788465306162834,0.0012448769994080067,-0.00033854867797344923,0.0004019032057840377,0.10312461074089492,-5.9999465202735776,5.999956083720004,0.18735051166521013,0.2439640760421753,0.1525970995426178,-9.813691139221191
1682243122.1707737,1.1503636837005615,1.198715329170227,-3.898010015487671,-0.003492343472316861,0.002626559231430292,-2.4005215167999268,0.9997574090957642,-0.005902778822928667,0.011425984092056751,-0.017886251211166382,0.0006783507997170091,0.0003693847684189677,-0.00048673778655938804,0.10310791239119893,-5.999945758937706,5.999952257625613,0.1864524683860428,0.21338164806365967,0.1124219298362732,-9.776985168457031
1682243122.1839092,1.1503099203109741,1.1987462043762207,-3.9205596446990967,-0.003467678790912032,0.0029914311598986387,-2.4003570079803467,0.9997573494911194,-0.005905987694859505,0.011423230171203613,-0.01788494549691677,-0.000495967804454267,-0.000523105263710022,-0.0008559433626942337,0.10312112672699715,-5.99994419440981,5.99994687898263,0.18605017206165986,0.22564855217933655,0.16009975969791412,-9.818406105041504
1682243122.196427,1.1502068042755127,1.198811650276184,-3.9656896591186523,-0.0034493061248213053,0.0030278521589934826,-2.399433135986328,0.9997572898864746,-0.005908119957894087,0.011418665759265423,-0.017888452857732773,1.5799172615516e-05,0.00014597800327464938,-0.0018429000629112124,0.103104554934822,-5.999944752900137,5.999939397410009,0.18508841262790893,0.21362996101379395,0.11843083798885345,-9.789704322814941
1682243122.206129,1.150158166885376,1.1988427639007568,-3.988227367401123,-0.003451912198215723,0.0030404585413634777,-2.399153709411621,0.9997574687004089,-0.005905969999730587,0.011420581489801407,-0.01788405515253544,0.00038904286338947713,0.000540599983651191,0.0001501340593677014,0.10310785975642744,-5.999944003183847,5.999935464690988,0.18707429436194634,0.21769127249717712,0.1294696182012558,-9.81280517578125
1682243122.220317,1.1501104831695557,1.1988736391067505,-4.0107421875,-0.003414667909964919,0.0028910147957503796,-2.39886736869812,0.9997574090957642,-0.005910627078264952,0.011419304646551609,-0.017885984852910042,-0.00012994675489608198,-0.00011279331374680623,-0.0011842447565868497,0.10311218074101022,-5.999942742187622,5.9999319156373065,0.18573625662729665,0.21183955669403076,0.10523475706577301,-9.80683422088623
