t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4
0.0,0.10000009064676722,0.20000009065421656,-4.599693099012391,3.624707467193552e-05,3.6251525395465404e-05,0.06131892187167197,0.9999977840656936,0.001488039938225485,-0.0014879176925791857,6.084229609187469e-05,0.5952405557454217,-0.5951433736681788,0.024336912464723155,4.482366801904594e-06,2.5931248734740358e-06,1.9018090561263688e-06,3.659691258603394
0.01,0.10000133969271144,0.200001340114979,-4.598756417757899,0.00026063137515456756,0.00026075538440043964,0.1259533592667425,0.9999663109371191,0.005802687452430169,-0.00580082147935552,0.0002372325929686025,1.130707009597287,-1.1299808322415121,0.04621883360632259,5.044272729657333e-06,2.7508207704585957e-06,1.8883855105192978e-06,3.2905203640913627
0.02,0.10000626503415759,0.20000626931370774,-4.597158698886692,0.0007913837491163522,0.0007921999475219996,0.19352530543411917,0.9998396910239739,0.01265998497208242,-0.012651055892831536,0.0005175117269985179,1.6125466207384729,-1.6102676026685219,0.06588912457221163,3.96656020469716e-06,3.3239498411187065e-06,1.8763848875786271e-06,2.957943905236291
0.03,0.10001826767480493,0.2000182890530801,-4.5948722391565155,0.0016889316867489167,0.0016919156603814763,0.2637020060263501,0.9995246595384838,0.0218039198177623,-0.021777277758248725,0.0008911949835971581,2.0462476215472507,-2.041224563298343,0.08356674785042384,3.780425923016933e-06,4.120611586057799e-06,2.017037664141482e-06,2.658295098768603
0.04,0.10004114303267096,0.20004121558640037,-4.5918726010303,0.002973430269504446,0.0029813551939279915,0.3361628845888015,0.9989114026075899,0.03300213111594339,-0.03294009298910454,0.0013488351317645548,2.436568786944281,-2.427189811127984,0.09942751710421205,0.0018957061628982084,0.0011252763809975752,0.0007408155801731669,2.3873582502401365
0.05,0.10007878528949772,0.2000789797339837,-4.5881389494768445,0.004646050035072009,0.004663746310962943,0.41050785325183753,0.9978832851167416,0.04604016533108345,-0.04588803146825763,0.001881762172656769,2.786989381089633,-2.7600670797140245,0.11314632710237815,0.04395572933118467,0.0070544564076488615,0.006607076806039471,2.1073820560254477
0.06,0.10013492390249401,0.2001353787398231,-4.583653124892769,0.006672278823968612,0.0067092266144167575,0.4866011186784456,0.9963285651455225,0.060722324874731844,-0.06029942655281024,0.0024836856230635814,3.10279843183131,-3.021096838662316,0.1239672200113821,0.15519106285702658,0.008064488434313915,0.008419132503818186,1.7820383599911294
0.07,0.10021273939937243,0.20021372680539506,-4.578397604171222,0.008977040993191163,0.009051072828877084,0.5644503656502122,0.994146038042917,0.07687581105812648,-0.07585396878370707,0.0031527983580536805,3.3892113513821545,-3.2307500153082556,0.13271208691740433,0.21227361986486337,0.001437726088653216,0.0015797248158576703,1.5271492009906267
0.08,0.10031478647499668,0.20031680377166258,-4.572356358539594,0.011512997687303909,0.01165137122575922,0.6437494332023468,0.9912437032094578,0.09434165304346243,-0.09230622019225183,0.00389038075862033,3.6478707957916967,-3.399596195083571,0.1398121855895874,0.24749080227508222,6.642419476263649e-06,7.326163353488805e-06,1.3151741293858146
0.09,0.10044310869511952,0.20044696702343978,-4.565515935560412,0.014225570835939687,0.014463679339056075,0.724288866999596,0.9875423043378336,0.11296793823954832,-0.10943650647588729,0.0047003322627704154,3.881215771868703,-3.52829179017838,0.1452939387550335,0.2900580925082235,1.1260877923992524e-05,1.2635936108601915e-05,1.114380501727645
0.1,0.10059917846067948,0.20060607550799323,-4.557864705398833,0.01705537126420854,0.017434929525910633,0.8059133372968453,0.982976522981536,0.1326121155582495,-0.12704308071534356,0.005589071179540087,4.0916859207735605,-3.624042490962005,0.14944954093452184,0.3184593461223821,3.62405901178894e-05,4.995371320295988e-05,0.9433482163810041
