t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4
0.0,0.10000011819636206,0.2000001182078796,-4.59971901259406,4.7263232028735836e-05,4.727002921411126e-05,0.05614140419244055,0.9999971105750672,0.0016992023332688094,-0.0016990368133456462,6.94755668498505e-05,0.6797130655572657,-0.6795838989260821,0.027790217847874644,1.2460197568646358e-05,2.4702085645230545e-06,1.6454878476839334e-06,4.178993412418234
0.01,0.10000188859099478,0.2000018893007636,-4.598878283205438,0.0003774518952191849,0.0003776638951412408,0.1119498235656148,0.9999537695541435,0.006797656295932612,-0.006795100661811975,0.0002779034673803392,1.3598042081546973,-1.3587884381979531,0.05558037669343785,1.8530569213321823e-05,2.5932991465945878e-06,1.9513683589268762e-06,4.178990427471914
0.02,0.100009546832433,0.20000955485560862,-4.597481074534751,0.0012714178819837002,0.0012730189796507278,0.16744156627435994,0.999765965871058,0.01529731551473233,-0.015284457130091906,0.0006252952835988718,2.0406526607270994,-2.0372321574569057,0.0833703474421755,4.058051420816467e-05,2.7176798456816556e-06,2.342968671504705e-06,4.178983924960365
0.03,0.1000287703511841,0.2000288116706118,-4.5954951754421955,0.00270557277476796,0.002711400657892112,0.22968726091630046,0.9992759457276583,0.026912207937975954,-0.02687205700598332,0.001099957392158879,2.607606459319762,-2.599749097415358,0.10646186782796588,2.952009578677825e-05,3.2972107730331406e-06,3.246044342754487e-06,3.472438651832205
0.04,0.1000638656404901,0.20006400066087784,-4.592844842206306,0.004432569989321262,0.0044466199141317995,0.30032522553447905,0.9983202136304067,0.04099823359141379,-0.04090339473998655,0.0016757679039186893,3.0335629503621564,-3.01920316133882,0.12374601304704227,3.398928288060913e-05,3.775789539335905e-06,3.6477220322050287e-06,2.5991536991663877
0.05,0.10011673771302118,0.2001170690028583,-4.589454863475513,0.006238892248109762,0.006265462043370065,0.3776128087683957,0.9967640911837118,0.05690838863805923,-0.05672184672115189,0.0023267861678350796,3.3460479414905904,-3.3233987829043383,0.13635408418258674,3.5971635291047035e-05,4.407436397736405e-06,4.162259749507849e-06,1.8959867635103738
0.06,0.10019531739857597,0.2001960600304365,-4.58533051851014,0.009625682565902164,0.009684509375090739,0.4472273667331101,0.9944363323628325,0.07463276843011937,-0.07427653644655936,0.0030539952058584578,3.7748536695578085,-3.729050895571923,0.1531318042622141,0.0507471786893063,0.01113542335651884,0.009628683190579728,2.5752193443631013
0.07,0.10030897592963817,0.20031052062493335,-4.580490049637623,0.013241904096477972,0.013347338161047202,0.5208414385054683,0.9911214558595375,0.09428385667108112,-0.09366904044117194,0.0038632847329889745,4.142376296809791,-4.083939127936475,0.16790286445604882,9.652694939207717e-06,7.703766756271831e-06,4.565048455794908e-06,2.221224850636501
0.08,0.1004591986471873,0.2004620792248316,-4.574895811729803,0.016921906324212123,0.017087784162924828,0.597983038983873,0.9866619415322344,0.11552551180002467,-0.1145844025010882,0.004741725282291005,4.449098790073237,-4.3758167011363724,0.18014326713979464,1.551499796851475e-05,8.530536360090847e-06,5.8741984499116194e-06,1.8406802290420117
0.09,0.10064605976328972,0.2006509424133763,-4.568515802021564,0.02055229543246048,0.020791121557260046,0.6779960656509376,0.9809310495397912,0.13804253247943996,-0.13669780109712093,0.005678595833346313,4.705122748925514,-4.61503457788144,0.1902713681491384,7.412354837913328e-06,1.0810097958302995e-05,7.995453826284258e-06,1.5230329351709566
0.1,0.1008686636343012,0.20087633634751823,-4.561324362073722,0.02405341061736432,0.024377684871522913,0.7602678422671589,0.9738563091634682,0.16156389154450906,-0.1595503451062578,0.00668471599813223,4.919652973119475,-4.738055860680211,0.19568139552080846,0.22504296755287573,1.0875890937334047e-05,1.2238734677215325e-05,1.038579555336205
0.11,0.10112547495678943,0.20113687997182889,-4.5533016727310125,0.027376768833991535,0.027806773244041176,0.8442431434792856,0.9654911299432739,0.18586098692340974,-0.18226657905314836,0.007840006439971224,5.100602011418107,-4.6369593333335954,0.19194468440110893,0.8093497446200384,1.8544916322305513e-05,2.017367486279637e-05,0.24743666929012736
0.12,0.10141765683848897,0.20143414632611814,-4.544440327638966,0.03112197974402127,0.03172238802096548,0.9280070769694985,0.9559595750949512,0.2107387872501712,-0.2040709177501313,0.009247424572626495,5.251925841640617,-4.4539953481696175,0.18611019644028373,0.9713241362240967,9.511282464480262e-05,0.09383267116075787,0.0002199672375868002
0.13,0.10188244587384666,0.20191408437739303,-4.535014798299571,0.06225445893236489,0.06480709256710929,0.9575993185817238,0.945189736410402,0.23598154148218897,-0.2254096210993631,0.010935125969378838,5.3700881411570744,-4.536720867694005,0.23724136149294814,0.04539753619424897,0.0002950874497342345,3.5558374857250454,4.178752138319617
0.14,0.10283135721920271,0.20291374433656428,-4.5255643516381685,0.1283129057001215,0.13614602993368666,0.9336769738281168,0.9329607931870675,0.26143549866167903,-0.24713306881848748,0.012684033728821851,5.472679872557652,-4.727275690754005,0.23400445192053873,3.754832615820056,4.098087847040983,3.229602629369312,4.136564514332433
0.15,0.10448001668550436,0.20467431634431285,-4.516341090112511,0.20220054010055588,0.21698101328124947,0.9123453804764967,0.9192022266964471,0.2870001395208367,-0.26924563211336616,0.01431698079860486,5.55807070850742,-4.84599106547669,0.2309611877404322,4.0025963305513885,4.178679452766944,3.545466898005496,4.178175174018609
0.16,0.10691049789831379,0.20729513947627387,-4.507316112738462,0.2846457617222064,0.3081736116973091,0.8942035078336575,0.9040645901821882,0.31240508064459144,-0.2912336314304397,0.015913965250596362,5.569237310198464,-4.833223015477508,0.23096166992930686,4.178686022189382,4.178971568249481,4.178756183818251,4.1789739162258135
0.17,0.11017829897132295,0.21084698391168863,-4.49841489563313,0.3695575249993649,0.403076389441556,0.8876366200341909,0.8877862108293268,0.33731348874704004,-0.31264705333064247,0.017523533156103086,5.5261158889975635,-4.766365303427377,0.22874934457615878,4.17883446600875,4.178982499093535,4.17898432917506,3.8461521316944323
0.18,0.11429584742980961,0.21535341133948907,-4.489513110250897,0.45446922741382356,0.49895568066796686,0.8942889971507386,0.8706835420532921,0.3613495864194414,-0.3331219372850799,0.019142123483753392,5.378184225144253,-4.595626006733911,0.22227073909970144,4.178846690130883,4.178986110141245,4.1789871654739175,3.2046192473610016
0.19,0.11926321198754498,0.2208243193747977,-4.480485791578294,0.5393994581547271,0.5958430914645553,0.9126877089010657,0.8531860829430903,0.38411461518617335,-0.35227569101144324,0.020767951151095553,5.1512834801609015,-4.347892959311305,0.21260928870417686,4.177935491801387,4.178988606601476,4.178988108937922,2.725086305927407
0.2,0.12507341928013505,0.22726165256898148,-4.471216649593971,0.6229246059499549,0.6921102613162329,0.9425499469776094,0.8357279691362646,0.40526375165427386,-0.36989218069822294,0.022356830204463635,4.827899619646382,-4.057439617621294,0.2011550888032639,4.019265136306947,4.178989782257948,4.178989350177517,2.2968294930621154
0.21,0.13171149815890704,0.2346577862476629,-4.461597875555896,0.7048857235640882,0.7874807863982791,0.9824938020414813,0.8186938379016068,0.42447876004993396,-0.3859965583838015,0.023766340994540794,4.422646315204875,-3.791140618634122,0.19063696380057496,3.700284027732612,4.178990367470399,4.178990021416167,2.1186114410516765
0.22,0.13916454010930815,0.24300594652406407,-4.451536631691535,0.785859845932243,0.8824036002505142,1.0309285394375007,0.8023422571502306,0.44155618388002904,-0.400824788417506,0.024789672414956686,3.964209215967709,-3.579102426276993,0.18228674026764638,3.3762892281736154,4.178990646141271,4.1789905582827505,2.1206166043135672
0.23,0.14741517047418673,0.25229120947830785,-4.44094984796485,0.8643682468427698,0.9747937521181269,1.0874583838954444,0.7869573166723404,0.4563037179996247,-0.4145459681192755,0.025233687634619344,3.421966841870597,-3.3598590113102533,0.173590914574459,3.1467702812285405,4.178990556722985,4.1789905820546105,1.839127294515349
0.24,0.1564307915602267,0.2624767848181674,-4.429759843287728,0.9388396046826446,1.0623675135939332,1.15139433828614,0.7730081574640171,0.46841267457636226,-0.4271135654968998,0.024939064914904573,2.7604387090693896,-3.085879862904579,0.16260084202992373,2.954862118918252,4.178990492491509,4.178990516968468,1.3022196065412648
0.25,0.16617362664784402,0.27351525711173125,-4.417900577737372,1.0098095494747132,1.1452878892199971,1.22112623887707,0.761020958248076,0.4775552889224425,-0.4384336867190215,0.02374762049868557,1.9961524360212266,-2.777183601434776,0.15013088404837718,2.7527751301255003,4.178990554392212,4.178990628703606,0.8775934044537073
0.26,0.17662667195575224,0.28537860435063506,-4.405325015527883,1.0808927636920984,1.2272694065037792,1.2944950946994176,0.7513992508205991,0.48361732545125596,-0.44838127191023575,0.0216259887583345,1.220563276442855,-2.4014828286469725,0.13486289267571275,2.9311478377932008,4.178990132491498,4.178990067277065,0.6352093507272758
0.27,0.18779601508797672,0.29806065716238045,-4.392002592559308,1.153083343510861,1.3089686202152215,1.3703377961933838,0.7443909653047219,0.4866910094914977,-0.45679890002353235,0.018673965570873405,0.4566385274886851,-1.9832684219696834,0.11780619821536184,3.104321729036776,4.178989667140833,4.178989518194522,0.5394054177799351
0.28,0.19970485293252446,0.3115698321065764,-4.3779151518104715,1.2288105859385787,1.3926380980303725,1.4473479326934178,0.7400099190485727,0.48699612784192103,-0.4636761205670468,0.01498487212469933,-0.23843497287769422,-1.5854836174335434,0.10154636589385735,3.2585814168327127,4.178989095346988,4.178988853547122,0.8134940914890366
0.29,0.21239456297904233,0.32592974175748307,-4.363055934405542,1.309279164952881,1.4790626320897533,1.5245509046457435,0.7380174909462457,0.4848773763122615,-0.46915976646010904,0.010640795695897447,-0.8392455717798951,-1.2407557315706137,0.08743018325348162,3.3891207796681013,4.17898958287664,4.178989492717466,1.2663866381918225
0.3,0.2259090259579739,0.34116140528250294,-4.347426435348622,1.3937802302754634,1.56694194302514,1.601269417722617,0.7381136671086127,0.4806617679772486,-0.4734129754973312,0.005712605642366055,-1.36689923569583,-0.934632768230195,0.07487667651040522,3.4979313651742596,4.178988792030121,4.178988671025574,1.6101861112800993
0.31,0.24028764557285215,0.35727598309198494,-4.331035232799012,1.4821259679337837,1.655601181278856,1.6767659990979498,0.7400318995041606,0.47460514200879395,-0.4765529117716139,0.00026301534725586275,-1.8293105495176478,-0.6630591746183641,0.0637271351139023,3.593962805775878,4.178988050041054,4.178988028496798,1.917340060928708
0.32,0.2555685561869978,0.37427874598107397,-4.3138981929585904,1.5742491152913294,1.7445356080348584,1.7503217050072077,0.7435123525767884,0.46692941996698223,-0.478679835687725,-0.005649180560018835,-2.230843602785338,-0.42461928801772486,0.053928817015940544,3.6802495298509785,4.178987548861626,4.178987555639979,2.206818230146049
0.33,0.27178919377106003,0.39217009408675635,-4.296038138206608,1.670076351891623,1.833275097158129,1.8212653416337756,0.7482998055445905,0.45783520619398893,-0.479886550628935,-0.011967602796647341,-2.5751822598455303,-0.21820157990777594,0.04543983932448056,3.7581339284331454,4.178987349370596,4.178987325793695,2.4815959532942626
0.34,0.28898569455005363,0.41094540757761444,-4.277484230358021,1.7694203722412205,1.9212859527623987,1.889001102885663,0.7541520637724521,0.447503928130669,-0.4802577861675662,-0.018637538485560122,-2.8676424854730556,-0.04043918493126247,0.03812485255194056,3.8296834711733125,4.178987044845068,4.1789870050615425,2.7296855000485696
0.35000000000000003,0.30719237670576616,0.43059502760429597,-4.258271272386288,1.872104799351482,2.008094033764861,1.9529966627797588,0.7608453450990297,0.43609999595900445,-0.47987030276399395,-0.02560560272455295,-3.1122826507667276,0.11088162557804927,0.031894712074461415,3.8953377617792286,4.178986897827612,4.178986834674529,2.958474595236197
0.36,0.3264416933132236,0.45110469782404167,-4.238439034041717,1.977933212799244,2.0932543438473012,2.0127911127304574,0.7681732452324785,0.4237759868993052,-0.4787970931574161,-0.03281953413032006,-3.312628960590296,0.2377609337841981,0.02666828824314854,3.956166063311057,4.178986880601632,4.178986793372292,3.1702377548542477
0.37,0.34676399129553737,0.4724558211758317,-4.2180315162718305,2.086681282973381,2.1763443401562887,2.067999107333362,0.7759474522295248,0.4106754611051204,-0.4771089285712776,-0.040227941808818314,-3.471904396855634,0.3421605489289433,0.022365484365717475,4.0130506114562055,4.178987057015062,4.178986912256553,3.36601257915741
0.38,0.36818824570721026,0.4946264609556369,-4.197096464616857,2.198299927965666,2.2571184463666776,2.118256488908751,0.7839901534479122,0.39694247448186637,-0.4748824417084104,-0.04777842406348496,-3.5888565734512548,0.42257217175693534,0.0190476350404426,4.0691374219433145,4.178987708178976,4.178987459557344,3.5702129599972965
0.39,0.3907408995739136,0.5175908578913478,-4.175684350625922,2.3123323609872726,2.3350606519706294,2.163383972906757,0.7921423071917207,0.3827158491662939,-0.47219469839701456,-0.05541940778872379,-3.6701264193951,0.48379784339129667,0.016517774939793665,4.1195960471435855,4.17898829925563,4.17898781303603,3.7391664430400398
0.4,0.414444677591874,0.5413189994010158,-4.153847282597428,2.4284929046945725,2.409835956956687,2.2032313858100263,0.8002711486337802,0.36812216192180536,-0.46911646648288363,-0.0631023251631811,-3.718194599584885,0.5273412618994594,0.014713733772091807,4.167093194255079,4.1789882079119645,4.17898820982423,3.8958088062222314
0.41000000000000003,0.4393195309925791,0.5657777844291714,-4.131638550314831,2.5465144902187467,2.481161600593196,2.2377129743428688,0.8082481006863268,0.3532820557959205,-0.4657421399931777,-0.07078881143322589,-3.7347990305538388,0.5433241754705151,0.014038338202633525,4.178959377736046,4.178986597807477,4.178989467352928,4.0773932646630335
0.42,0.4653794500376324,0.5909293919218894,-4.109110589063428,2.665473640947265,2.548379508440953,2.2670872242557487,0.8159706152179521,0.33828615296311226,-0.4621676276752525,-0.07845710766580385,-3.7348922801961506,0.5428121482729472,0.014037886921848753,4.178970323600446,4.17898489148173,4.178988697471566,4.178898655838464
0.43,0.4926287749640262,0.6167296215150435,-4.0863124648020275,2.7843638727540587,2.610871553258354,2.2917640926698866,0.8234015195972902,0.32316923079844584,-0.45843061297394244,-0.08609854167376868,-3.7349731077294024,0.5422907855574631,0.014037814595623189,4.178977579575732,4.178982877973006,4.178986483385136,4.178963098039458
