t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4,a_x,a_y,a_z
1681284072.0260136,-4.0,-3.0,-1.9687996551763463,0.011800751568744784,-0.06981377556030417,0.7474813435807779,1.0,0.0,0.0,0.0,0.06159835049215099,0.09216594662451533,-0.05021854950791922,0.10417372928089771,5.986112611202356,3.0680194019261577,-0.14626963297361742,0.0,0.0,0.0
1681284072.0415614,-4.0,-3.0,-1.930013355317366,-0.0590694251349369,-0.05910167483304683,1.2136923633592767,1.0,0.0,0.0,0.0,-0.02742025619679718,0.09054209527255351,-0.08292808787267865,0.3531670701342645,5.999897011931782,3.6336914087080627,-0.6597126600558343,0.0,0.0,0.0
1681284072.0622308,-4.0000001460139245,-2.999999778152694,-1.918232314405832,-0.0736023493657275,0.004972107877939214,1.2088087785504906,0.9999903905124009,0.003855853124796205,0.0020848838262854667,-6.737185540308778e-05,1.0628806705112712,0.5857089115410671,-0.054301163485078185,0.4473669517200325,5.999939190616826,3.633808161988914,-0.8156556191500639,0.0,0.0,0.0
1681284072.0823936,-4.000009370962909,-2.99998214216153,-1.8930286992215275,-0.018934818679163273,-0.07027233709406164,1.3036024576866174,0.9996075586814044,0.024597996798073264,0.013394820483650916,-0.0004959483194977677,2.6576993533660835,1.483606572196956,-0.11421543367918752,0.7333135113686462,5.999934272101112,3.0290009663155764,-0.4467675089115944,0.0,0.0,0.0
1681284072.1015713,-4.00009488402376,-2.9998245079549832,-1.8665043180459397,0.004411886748903854,0.06919706213024493,1.2655769687633458,0.9977986342824117,0.05738407525082517,0.03319417722799645,-0.0017606617841375697,3.5388756819775993,2.2212846012375835,-0.15796796093162246,0.9264790791212728,5.9999170272286255,2.8347847012677354,-0.1933889707586693,0.0,0.0,0.0
1681284072.122807,-4.000449334631357,-2.9991953331384984,-1.8401391803487452,0.0022961314797159335,0.11644735786995153,1.2422916911503972,0.9934365876623071,0.0986150270906929,0.057777493017601024,-0.004536962240775045,4.41827085534808,2.442626742554789,-0.3728545617527937,0.9746626093595826,5.99981706483341,3.1780696526384506,-0.3439584132239414,0.0,0.0,0.0
1681284072.1383996,-4.001302974100697,-2.9976899836480584,-1.814344853970794,-0.03984659218822026,0.1054892457100514,1.2062701660900481,0.9857256759951772,0.14597326299196448,0.0834074829002141,-0.008938119018022933,4.860767737067745,2.6483157484620974,-0.36506339164962626,0.9821556373452044,5.9983585237134145,2.5175528880740043,-0.36296604886788447,0.0,0.0,0.0
1681284072.1584983,-4.003049973215517,-2.9945652319863987,-1.7900071734887282,-0.044968877849279415,0.1449424338367066,1.0934557780441903,0.9742061653726427,0.19663784843633375,0.10984942003766614,-0.013748048212351344,5.255140793902759,2.787881066505343,-0.49208552181536885,0.9999490813627554,5.3852206135647345,2.5246576351431855,-0.49206907291979557,0.0,0.0,0.0
1681284072.1758773,-4.006212593193396,-2.9887887380410865,-1.7680681052411615,-0.2243538114326731,0.3473004298299742,1.096735226636572,0.958717733630791,0.24912561376433626,0.13582906410990842,-0.018633333877994956,5.560147832986119,2.5797851818241866,-0.3661352872818012,0.9738890693376563,4.100762240564216,1.3148292786385298,-0.33178193539529316,0.0,0.0,0.0
1681284072.1931958,-4.011292333688877,-2.979291567144282,-1.7488597729199478,-0.320778456591068,0.6304644013979418,0.9634656263051004,0.9396658713987953,0.30101788650994116,0.16081814717831808,-0.02353307603276131,5.444321716496958,2.654947699575938,-0.5183316596737202,0.9452342729899414,2.3280584508991176,0.9431511732746373,-0.4707444801263446,0.0,0.0,0.0
1681284072.2095115,-4.014677346266725,-2.9728549360023533,-1.7402209144656169,-0.3716959095279529,0.6907908143693632,0.8197334646962415,0.9293756901876522,0.3255084527830394,0.1721154737877516,-0.026102439308137715,5.2989527257173386,2.3714260318531872,-0.4949272116178498,0.9401347520135662,1.8737747421511448,0.9457786422146256,-0.45562261770198503,0.0,0.0,0.0
1681284072.2253542,-4.023311993069875,-2.9561418226024343,-1.7245557016874933,-0.4725014751537054,0.9098913615107037,0.7036678246766319,0.90853886031638,0.36988603999493197,0.19173029867170596,-0.03132010988390106,4.567624498191349,2.050686767386641,-0.4602774185058951,0.9313631945003998,0.6114948863605325,0.7313834358183048,-0.4225483750447791,0.0,0.0,0.0
1681284072.2407103,-4.034542874620651,-2.933917616301399,-1.7104625440915533,-0.6150407648860542,1.2377989018574396,0.6639509997260283,0.8894712879663548,0.4053656326693857,0.20788026395936318,-0.036129317599537414,3.7521139268607886,1.5958621320279611,-0.4873882627023827,0.9200463353334932,-0.8690253914238362,0.855120474895772,-0.46634944219515384,0.0,0.0,0.0
1681284072.2567506,-4.041165272863628,-2.920615943417706,-1.703821743856048,-0.6344840451951188,1.3583476128616376,0.6041815865049426,0.8810379600627782,0.4196531906494819,0.21493840954301657,-0.03827260912515232,3.287585511214464,1.4491517779913397,-0.3627993875434037,0.9195566770768479,-1.3757426954103764,1.0382039507481877,-0.35100029075046457,0.0,0.0,0.0
1681284072.2949266,-4.0564706690351775,-2.889462834597915,-1.691036753877152,-0.8247582586428487,1.6960613171248324,0.5509798272029325,0.8670677990574068,0.44121627780779843,0.227552870690906,-0.04172911544118736,2.238671513293298,1.2669520738490372,-0.45257607301009395,0.9358443712224537,-1.478616411778598,0.40465200303937787,-0.42609725775841123,0.0,0.0,0.0
