t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4,a_x,a_y,a_z
1682235721.4850378,7.907352924346924,0.2656634449958801,-0.08565180003643036,-1.3116482477926183e-05,-0.00018634377920534462,-0.0019036611774936318,0.9998070597648621,-0.004789135418832302,-0.00753274979069829,0.017501022666692734,0.0009175983723253012,0.00014491882757283747,0.0009762209374457598,0.9380179440273144,-3.597620464687558,3.3561527384571916,-0.10442604343576313,-0.17065340280532837,0.09835600852966309,-9.809743881225586
1682235721.4920046,7.907321929931641,0.2657083570957184,-0.08547079563140869,-0.0003629403072409332,-0.00030225139926187694,-0.0016311147483065724,0.9998069405555725,-0.00478876568377018,-0.007536727469414473,0.017506930977106094,8.219530718633905e-05,-0.0006776361842639744,0.0014912255574017763,0.9394556814167118,-3.5326996695663144,3.3228721342474943,-0.10232293135052296,-0.17065340280532837,0.09835600852966309,-9.809743881225586
1682235721.4985156,7.907289981842041,0.26575326919555664,-0.08529430627822876,-0.00036196023575030267,-0.00020059275266248733,-0.001474960008636117,0.999806821346283,-0.004791638348251581,-0.00753295561298728,0.017513995990157127,-5.824726486025611e-06,0.000798809458501637,0.0025393718387931585,0.9394917885550511,-3.5311334087975665,3.32217362469746,-0.10121381710450832,-0.15985216200351715,0.1018233448266983,-9.79541015625
1682235721.5064232,7.907258033752441,0.265798956155777,-0.08512193709611893,-0.0005486533045768738,-0.00016279499686788768,-0.0012795061338692904,0.9998067617416382,-0.004787915851920843,-0.007534246426075697,0.01751796528697014,0.0010546535486355424,-0.0006984086357988417,0.002591217402368784,0.9394724465480221,-3.531207546379741,3.321941738625479,-0.10120178596950262,-0.1460239738225937,0.09591521322727203,-9.784676551818848
1682235721.5133424,7.907225131988525,0.2658449113368988,-0.08495275676250458,-0.0006026717601343989,3.664807809400372e-05,-0.0009617747855372727,0.9998067021369934,-0.004785637836903334,-0.007532731629908085,0.01751883514225483,0.0008400855585932732,0.00039874360663816333,0.000297611637506634,0.939465148017302,-3.531485244088677,3.3191043211201823,-0.10335964373248747,-0.14983943104743958,0.11844038218259811,-9.797989845275879
1682235721.5246627,7.907191753387451,0.26589149236679077,-0.08478716015815735,-0.0008019253145903349,-9.975054126698524e-06,-0.0008243162301369011,0.9998066425323486,-0.0047829728573560715,-0.007531134411692619,0.017523860558867455,0.0018268480198457837,-0.00030975823756307364,0.0015072945971041918,0.9394636812607337,-3.530777889477348,3.3191963038888055,-0.10218177817839061,-0.14062365889549255,0.09254585206508636,-9.801031112670898
1682235721.5328608,7.907158851623535,0.2659369111061096,-0.0846262276172638,-0.0008322302019223571,-5.4691670811735094e-05,-0.0007184120477177203,0.9998064637184143,-0.0047845072112977505,-0.007535560987889767,0.01753314584493637,0.0006122223567217588,-0.0015064813196659088,0.0024452500510960817,0.9395107134208663,-3.5293965241139253,3.319547483460038,-0.10129756334799277,-0.15335455536842346,0.08680812269449234,-9.812976837158203
1682235721.5433054,7.907125949859619,0.26598161458969116,-0.08447025716304779,-0.0008190057124011219,-6.944144843146205e-06,-0.0007046066457405686,0.9998064637184143,-0.004778152331709862,-0.007539029233157635,0.017531847581267357,0.0007681222050450742,6.038525316398591e-05,0.0001807220687624067,0.9394908978726074,-3.5300394440983727,3.3170716389353387,-0.10342309710510657,-0.14649121463298798,0.10369424521923065,-9.834163665771484
1682235721.5557501,7.9070940017700195,0.26602688431739807,-0.0843198150396347,-0.0008157299598678946,8.967764006229118e-05,-0.0005714031867682934,0.9998064041137695,-0.004779244307428598,-0.007539384067058563,0.01753450557589531,-0.00043554414878599346,0.0012482196325436234,0.0021650968119502068,0.9395509850065458,-3.5280523915476056,3.3170130398092414,-0.10141095348657696,-0.15856537222862244,0.08631078153848648,-9.794536590576172
1682235721.5644438,7.907061576843262,0.26607179641723633,-0.08417321741580963,-0.0010009943507611752,0.00014164630556479096,-0.0005145390750840306,0.9998063445091248,-0.004777431953698397,-0.007541386876255274,0.01753919944167137,0.0012637843610718846,-0.0006669024005532265,0.002314977813512087,0.9395122327437307,-3.5286382394712303,3.3173268790082604,-0.10133153507452196,-0.16311535239219666,0.10841818153858185,-9.810284614562988
1682235721.5731876,7.907027721405029,0.26611751317977905,-0.08403123915195465,-0.0011911718174815178,0.00027971825329586864,-0.00037776041426695883,0.9998062252998352,-0.004774353466928005,-0.007543867453932762,0.017546406015753746,0.0002287008974235505,-8.441400859737769e-05,0.0034411114174872637,0.9395556650366544,-3.527316853258332,3.3168518752953395,-0.10017870896952602,-0.16274379193782806,0.11019545048475266,-9.799468040466309
1682235721.5843925,7.906992435455322,0.2661646604537964,-0.08389245718717575,-0.0013335137628018856,0.0005384341347962618,-0.00014999495761003345,0.9998062252998352,-0.004772912710905075,-0.00754164345562458,0.017551381140947342,0.00040940920007415116,0.0007241108105517924,0.0006679703947156668,0.9395288954166369,-3.5282590656508015,3.313950155990088,-0.10282040213351051,-0.1600184589624405,0.08937738835811615,-9.808424949645996
1682235721.5933027,7.906957149505615,0.26621174812316895,-0.08375778049230576,-0.0015329564921557903,0.0006361368577927351,-0.00010099396604346111,0.9998059868812561,-0.00477723591029644,-0.007543440442532301,0.01755937561392784,-0.00035819722688756883,-4.994260234525427e-05,0.0022469484247267246,0.9395683065354851,-3.526975796421739,3.3143787329385925,-0.10128788474186692,-0.16877010464668274,0.12420280277729034,-9.811347007751465
1682235721.6031637,7.90692138671875,0.26626068353652954,-0.08362690359354019,-0.0014538292307406664,0.0008091469062492251,3.028781975444872e-05,0.9998059868812561,-0.004780019633471966,-0.007543631829321384,0.017560254782438278,-2.868839828806813e-06,-0.0008274500723928213,0.0009096483117900789,0.9395471881539692,-3.5276407771254563,3.3134961981626403,-0.10261442793038632,-0.13608591258525848,0.0969267264008522,-9.801907539367676
1682235721.6137435,7.906886577606201,0.26630899310112,-0.08349907398223877,-0.0015257186023518443,0.000807847420219332,0.00018017235561273992,0.9998059272766113,-0.004776868969202042,-0.007545280735939741,0.01756555587053299,0.0011342595098540187,0.0002966176252812147,0.0014340836787596345,0.939535650850754,-3.5272635158641266,3.3127823704932746,-0.10203550261085781,-0.13608591258525848,0.0969267264008522,-9.801907539367676
1682235721.6234381,7.906851768493652,0.26635777950286865,-0.08337487280368805,-0.0015315968776121736,0.0009973470587283373,0.0002687798987608403,0.9998056888580322,-0.004777821246534586,-0.007546055130660534,0.017572708427906036,0.00018415799422655255,-0.0005485385772772133,0.0025436438154429197,0.939569739385277,-3.5263978314076225,3.3132788523498067,-0.10097409695611893,-0.15069444477558136,0.11267519742250443,-9.783013343811035
1682235721.6328273,7.90681791305542,0.266407310962677,-0.08325608819723129,-0.0015361085534095764,0.0010831680847331882,0.00021337720681913197,0.999805748462677,-0.004774676635861397,-0.007548719644546509,0.017574051395058632,0.0009178322507068515,-0.0012602185597643256,0.0004937830963172019,0.9395281671032999,-3.527764995650882,3.312134141425099,-0.10299892972695103,-0.14910048246383667,0.09002628177404404,-9.8109712600708
1682235721.6434011,7.906783580780029,0.26645588874816895,-0.0831414982676506,-0.001709895906969905,0.0011246813228353858,0.00035064632538706064,0.9998055696487427,-0.004774049855768681,-0.007548046298325062,0.017582837492227554,-0.0006470333901233971,0.0002026826550718397,0.0017726813675835729,0.9395906132776747,-3.525888574934635,3.311317656212634,-0.10165604142155471,-0.16077491641044617,0.10097415000200272,-9.798999786376953
1682235721.6531496,7.9067487716674805,0.26650500297546387,-0.08303065598011017,-0.0016913788858801126,0.0012499925214797258,0.00035968830343335867,0.9998055100440979,-0.004776173736900091,-0.007549735717475414,0.01758715510368347,-4.161080505582504e-05,-0.0004270185891073197,0.0023733479902148247,0.939581668146178,-3.5258999936056123,3.3117007577221758,-0.101090360850417,-0.1448824405670166,0.11320079118013382,-9.80775260925293
1682235721.664546,7.906714916229248,0.26655441522598267,-0.08292392641305923,-0.0017480148235335946,0.0013692867942154408,0.00039938819827511907,0.9998053312301636,-0.004773428197950125,-0.0075563485734164715,0.017594868317246437,0.0013665447477251291,-0.0013283169828355312,0.0016609911108389497,0.9395377339107441,-3.526943072576105,3.3115064924566777,-0.10182077462263064,-0.15035128593444824,0.11518693715333939,-9.794239044189453
1682235721.6735036,7.906681537628174,0.2666044533252716,-0.0828203558921814,-0.0017317133024334908,0.001440783147700131,0.0004978072247467935,0.9998050928115845,-0.0047730435617268085,-0.007558758836239576,0.01760147698223591,-0.0005505203735083342,-0.0007136873318813741,0.0021172272972762585,0.9395939187974774,-3.5256524357139085,3.310964008104811,-0.10133100635143134,-0.16892270743846893,0.0893336683511734,-9.805207252502441
1682235721.6830807,7.9066481590271,0.26665350794792175,-0.08272024244070053,-0.0018183711217716336,0.001470894436351955,0.0006488842773251235,0.999805212020874,-0.004770219791680574,-0.0075539336539804935,0.01760212704539299,0.000503270304761827,0.0005933456704951823,0.0014089399483054876,0.9395702158294823,-3.5258727746928016,3.309334179292747,-0.10194356364303157,-0.1397094577550888,0.10364942997694016,-9.795075416564941
1682235721.695493,7.906615257263184,0.2667025029659271,-0.08262287825345993,-0.001919852918945253,0.0015983432531356812,0.0008692087139934301,0.9998050928115845,-0.004769518040120602,-0.007558726239949465,0.017604701220989227,-0.0010961128864437342,-0.002066262997686863,-0.0005042428383603692,0.939585291069415,-3.5262852032216743,3.3085680712445673,-0.1039052647027565,-0.159383162856102,0.08709666132926941,-9.777017593383789
