t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3
0.320945,-3.6653935546347785,-4.24309168676217,3.509318368869056,0.7318321809298092,0.4219232420853076,-0.18561499859049005,-0.5019457232754775,3.3611450560862357,5.430615767031575,0.3276617929521877,-0.2781854663589164,0.3231152648565827,0.32230665602197733,9.432960083156646,3.977658877604383,-0.04600201843896699,-0.10402497993009815,-0.09030709266557134,3.873720269447542e-06,4.178985590792229,4.178999613755544,4.17899923023703,4.178991799454004,0.9947798334438482,0.0007392551892729611,0.07207512590485102,0.9996823666356722,3.444051567241893e-05,0.04599422499541928,0.999765073302418,2.8464730421678992e-05,0.04499968536371556,0.9998801877606254,1.7813836887495732e-05,0.04473104624504932
0.353039,-3.5526316347331726,-4.0667549859206344,3.5198188401388184,0.7372542976651335,0.42025208977867473,-0.18175869931780383,-0.49679780283913044,3.6638910071037363,5.558276661290396,0.3261853820802815,-0.2815240940220131,0.32021690565526667,0.322306780347016,9.091410750830658,4.029505298621371,-0.1393881436121741,-0.10302621836953069,-0.09139194701781483,4.377642413256538e-06,4.178986970637181,4.178999606674388,4.178999174374697,4.178993985857796,0.9939500086839178,0.0008298247599304701,0.07487914845592993,0.9996471159327335,3.525070293868964e-05,0.046039842443716374,0.9997353056483107,2.976765410741264e-05,0.045000000220846215,0.9998608951422089,1.929261841651916e-05,0.04478143919778609
0.385134,-3.430329469690153,-3.886293884615735,3.530223804580194,0.7426360821409006,0.41848746762068145,-0.17789703741706495,-0.4916426884411137,3.955675109823049,5.687601539484193,0.32171179205907685,-0.2848306669519372,0.3172837286173765,0.3223069208451739,8.753619375440435,4.075680754539775,-0.23244692225747668,-0.1020378282719292,-0.0924636403457165,4.74413079290146e-06,4.178987777764379,4.178999599746528,4.178999104118992,4.1789954074231845,0.9930065605627724,0.0009434481211455305,0.07766297352706482,0.9996109845707714,3.613136196217638e-05,0.04609073254428772,0.999704132620636,3.117302767466866e-05,0.04500035669440828,0.9998400183853159,2.087675689294771e-05,0.04482031574746584
0.417228,-3.298836941414209,-3.701657901520769,3.5404372332934426,0.7479769116409583,0.41662956631942594,-0.17403148758846154,-0.486480611659717,4.2366179739188015,5.818408394935654,0.314251528905246,-0.2881055180154019,0.314316156139148,0.32230707310558593,8.419616285007558,4.116217668277764,-0.32512537827539084,-0.10105273363305589,-0.09352528384793463,5.091202048452464e-06,4.178988139972948,4.178999593062207,4.178999014799919,4.178996374178165,0.9919179581132255,0.0010886024495469053,0.0803077595175512,0.999573896900402,3.708767036932155e-05,0.046147491634907126,0.9996714356157239,3.269700491206985e-05,0.045000766623909394,0.9998174331164741,2.258526884183374e-05,0.04485080586440241
0.449323,-3.1585000453680765,-3.512802380219343,3.5503634618812927,0.7532761705072906,0.4146785975342559,-0.17016351776535474,-0.4813118001744084,4.50684118242771,5.950516261564172,0.30381679887583946,-0.29134875297844226,0.3113145107645129,0.3223072365050695,8.08943257027807,4.15115067362023,-0.4173707728053509,-0.10006734392940553,-0.09457893553231131,5.493226831557641e-06,4.178988107805479,4.178999586693302,4.178998899621995,4.178997055368261,0.9906398359165808,0.0012781221966446732,0.08270537865060013,0.9995357714703885,3.812543001354731e-05,0.04621081356787587,0.9996370785207643,3.435709495952695e-05,0.04500124500892197,0.9997929931826802,2.4439933793808128e-05,0.04487506726490987
0.481417,-3.0096608589359772,-3.319688454666112,3.5599072448915576,0.7585332487954217,0.412634795070241,-0.16629459117676657,-0.4761364776900244,4.766467316227826,6.083745284842466,0.2904215008542262,-0.2945603623711076,0.30827904898671105,0.3223074128073295,7.763100126417666,4.180516615091268,-0.509130629994263,-0.09908013465185288,-0.09562650736521852,6.015102120693871e-06,4.178987671350975,4.178999580688109,4.178998748340071,4.178997548965362,0.9891076269532604,0.0015322089633204655,0.08477378246469451,0.9994965203235412,3.925114684733429e-05,0.04628150543602483,0.9996009063474953,3.61721732690836e-05,0.04500181107331183,0.9997665269518538,2.646623082653286e-05,0.044894624382396886
0.513512,-2.8526575089810646,-3.122283012370754,3.568973810005363,0.7637475416214782,0.4104984152330005,-0.1624261674672615,-0.470954864029177,5.015619979855965,6.217916792749105,0.27408121790900547,-0.2977402877951193,0.30520996593541533,0.32230760585890567,7.440651631072067,4.204354522418165,-0.6003527596206221,-0.0980911505510891,-0.09667043277932875,6.735598710840869e-06,4.178986755509814,4.17899957506617,4.178998544866923,4.17899791442893,0.9872234394705794,0.0018841874826809079,0.08646590462836687,0.9994560481999452,4.0472123595996754e-05,0.04636050681447583,0.9995627441399816,3.816220751375427e-05,0.045002489664071145,0.9997378324531981,2.8694498655679435e-05,0.044910577951275614
0.545606,-2.687824138584344,-2.920558655317366,3.5774689119450116,0.7689184489131515,0.40826973647569287,-0.1585597034483332,-0.4657671754363225,5.254423826621,6.352853365901471,0.2548132081268095,-0.30088847228844884,0.30210737864054177,0.3223078220344454,7.1221204847568576,4.222705552922438,-0.6909852773429258,-0.0971021420400052,-0.09771451675298452,7.775325295918234e-06,4.178985189897258,4.178999569813437,4.178998262689774,4.178998189239409,0.984831139642552,0.002392299828027414,0.08777144738382257,0.9994142516324083,4.179656753697448e-05,0.04644891313000291,0.9995223965800533,4.034755992833304e-05,0.04500331307815242,0.9997066710103227,3.116144287543803e-05,0.044923738677158195
0.577701,-2.5154908730078898,-2.7144936586610426,3.5852988860792374,0.7740453754595239,0.40594905820066973,-0.154696653855448,-0.4605736252046196,5.483004581803989,6.488378905839787,0.2326363947952438,-0.3040049150676597,0.29897128201320416,0.3223080715794695,6.807540714231539,4.235612876125055,-0.7809766135320692,-0.0961175250035572,-0.09876553431147979,9.348603110717346e-06,4.178982630232582,4.178999564877934,4.178997855442907,4.178998397717403,0.9816650958529199,0.0031660437896319773,0.08871294904649639,0.9993710179162407,4.3233716167479274e-05,0.046548003958335187,0.9994796488832032,4.2747696850083756e-05,0.04500432341409622,0.9996727588460256,3.391216429717634e-05,0.04493471498874749
0.609795,-2.33598378496352,-2.504071927288974,3.592370701711646,0.7791277312841018,0.4035366981936649,-0.15083847251037233,-0.45537442488380564,5.701489062757152,6.624318699607613,0.20757135630235624,-0.3070897570748478,0.2958014535236009,0.32230837161802733,6.496946805813493,4.243121429479362,-0.8702754776804258,-0.09514717781373197,-0.09983696872581918,1.1886363720726692e-05,4.178978357265392,4.17899956016592,4.178997235724987,4.178998555937486,0.9772332304262584,0.0044318654266615526,0.08933823272671758,0.9993262239321119,4.479398412883995e-05,0.046659277248781085,0.9994342697237428,4.5379159460352394e-05,0.04500557553807,0.9996357558788387,3.700296718686775e-05,0.04494397232690004
