t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4
0.446944,-7.901220741232579,-5.909345255267142,-2.868772679566273,0.6047566073277905,0.4411760602728912,-0.12419144523790852,-0.6513137605372039,1.137336343520731,5.248040912736941,-1.5330895394853163,0.40413881256589645,0.0023569749053662715,-0.020020745816571053,11.38377351234735,2.9907835526769224,1.127703451368076,7.320932532589808e-05,-0.008090096398312097,2.475430937448364e-07,4.178999325853949,4.178998380925452,4.178998600715621,4.178999478309033,0.9984060920227359,0.00019183075192023854,0.0474959492091639,0.9997734586122452,2.3770685371979735e-05,0.0456693103076222,0.9998152567243132,2.0913694279820475e-05,0.04499453174988921,0.9998616354936183,1.7306807894235028e-05,0.044998735495938434,0.999927980806747,1.096002967022437e-05,0.04480799331899632
0.491638,-7.839001089111723,-5.671774981205588,-2.9361970858349675,0.6004621322655095,0.44670698664620184,-0.12984176505660483,-0.6504146460862712,1.64612686920247,5.381712083752097,-1.4826875500911718,0.40414208461018625,0.001995393186013846,-0.020020734752789728,11.280514154437254,2.839918975920959,1.3086370151802997,8.474655797029955e-05,-0.008089058321119018,2.841333930102802e-07,4.178999367320679,4.178997811210011,4.178998092451146,4.178999513347804,0.9982017108317811,0.00020438119095478728,0.04782501450810688,0.9997492457937704,2.421281847480678e-05,0.04569296217273992,0.9997936520495886,2.16046747245972e-05,0.04499427252929299,0.9998434321631172,1.8203330501061447e-05,0.04499894122007034,0.9999160411010506,1.193970569638394e-05,0.04484222225263343
0.536332,-7.75414430540598,-5.428381300491883,-3.0011877614535623,0.5961174741482365,0.4521961786155481,-0.13548637088506774,-0.6494659470402773,2.1503022834771124,5.508640458344682,-1.4241988499990639,0.40414587230376015,0.0016338578628621349,-0.02002072205362822,11.176054660086699,2.6906007783694466,1.4875770349336925,0.000107370981632965,-0.008087831014391854,3.336630923859403e-07,4.1789993946955395,4.178996880308373,4.1789972389929515,4.178999537759972,0.9979823793338265,0.00021933149795460105,0.04824299864625868,0.9997245284986773,2.471729509312992e-05,0.045720668657189704,0.999771294115185,2.2357934403630103e-05,0.04499399319029681,0.999824259291623,1.9172871494197275e-05,0.04499916553551291,0.9999030417785905,1.2999322460129403e-05,0.04486873638806583
0.581027,-7.6468578528137865,-5.179464030734795,-3.063385264372803,0.5917229341090763,0.45764320513939366,-0.1411247762947627,-0.6484677814315394,2.6498089470088293,5.628895150950913,-1.3577125393943188,0.40415067118157766,0.0012723773934049574,-0.020020707140768264,11.070362858661758,2.542811949065373,1.6645070977679368,0.000153440902789541,-0.008086838884706647,3.7871704594666257e-07,4.178999410300213,4.178995223175912,4.1789956496271055,4.178999553348338,0.9977451246407553,0.0002372546930713216,0.04878044720273055,0.9996992395682797,2.5288930397657635e-05,0.04575290538796241,0.9997481123554304,2.3181759754565078e-05,0.04499369349269815,0.999804029450096,2.022984152690756e-05,0.044999415138891594,0.9998888873957212,1.4154382869272895e-05,0.04488974172995585
0.625721,-7.517351623956273,-4.925319917690115,-3.122434151206005,0.5872788090036052,0.46304764877373517,-0.146756506037141,-0.6474202679837004,3.1445917826157443,5.7425445157130905,-1.2833184520246286,0.4041575291252557,0.0009109412665538176,-0.020020690214250472,10.96340817199449,2.396535979818252,1.8394116720077114,0.00025724112174647235,-0.008089111776618892,2.965697436419407e-07,4.178999415518647,4.178991879100239,4.178992179370676,4.17899956121775,0.997486207161824,0.00025891747893123717,0.04948121217541597,0.9996733061786345,2.5933389645172587e-05,0.04579025459808476,0.9997240267150616,2.408564036883295e-05,0.044993373791051464,0.9997826385749805,2.139087511548128e-05,0.04499969866455987,0.9998734641294552,1.5423266266083348e-05,0.04490669194465559
0.670415,-7.365838004117511,-4.666242668689641,-3.1779830092280363,0.5827853797267462,0.46840911779493194,-0.15238111200016494,-0.646323522896084,3.6345943464441897,5.849656168950427,-1.2011071158160473,0.40416902635378177,0.0005494035542424968,-0.020020676959254174,10.855158938623003,2.251754723834579,2.012279346488517,0.0005473583234269338,-0.008117781041907282,-8.538621975870743e-07,4.178999411054432,4.178983602593781,4.178982167698444,4.178999561946464,0.9972008423976727,0.00028536476415132823,0.05040903351031722,0.9996466488565641,2.6657322070472633e-05,0.04583342652102862,0.9996989461704331,2.5080544628504673e-05,0.044993035313986456,0.9997599632069827,2.2675367997795938e-05,0.04500002747282998,0.9998566359060252,1.682822342994976e-05,0.044920579937813704
0.71511,-7.192531933668503,-4.402522987065921,-3.229684483575817,0.5782428692258723,0.47372728402459124,-0.15799823275951644,-0.6451776522825807,4.119758779551571,5.950296915922729,-1.1111695687093777,0.40419349018634226,0.00018658448733103675,-0.020020715122082686,10.745553321071432,2.1084296424850884,2.1831283795640957,0.001941190292852109,-0.008513864436926227,-1.6987058534544286e-05,4.178999397098687,4.178952646131805,4.178926943101365,4.178999555680203,0.9968827914486346,0.00031805094903813026,0.051657151102150245,0.9996191803313204,2.7468525243600463e-05,0.04588328719000613,0.9996727669444463,2.617922598680711e-05,0.044992680530682075,0.9997358572018542,2.4106005128491886e-05,0.04500041676793028,0.999838239213434,1.8396692591408664e-05,0.0449321060636554
0.759804,-6.997651003261534,-4.134448627141112,-3.2771952719685045,0.573651155067715,0.47900206390889255,-0.1636080302239945,-0.6439827540443862,4.6000244592085915,6.044531839430245,-1.0135960325999,0.4042802504533554,-0.00019393727531193233,-0.020021474347872992,10.518213188915151,1.9023945235012334,2.4332732808815027,2.5554597310229847,-1.6366361372252167,-0.06651362277949915,4.178999373490983,4.1504204507162745,4.050399796690318,4.178999542134234,0.99652374117357,0.00035905027506445773,0.05336089470477182,0.9995908041840776,2.8376147242757e-05,0.045940894398314516,0.9996453703843193,2.739656012689973e-05,0.0449923136228207,0.9997101479988081,2.5709203046183085e-05,0.045000887197560374,0.9998180761049396,2.0163108494369033e-05,0.04494177922853594
0.804499,-6.781536480522126,-3.8623628835077715,-3.320097632865525,0.5682361355389522,0.48444109813803204,-0.17047888087595717,-0.6429319309082834,5.070129316074919,6.129558154176968,-0.9048424290286229,0.5184948997957243,-0.07334234976835384,-0.022994258465746757,10.351043174521797,1.6750689771860752,2.7248066959109813,4.787193059860731,4.770554143154216,0.19553441614967634,4.178999339622593,3.8848190564076854,4.17885559139472,4.178999520650109,0.9961123575433032,0.00041138363026686016,0.05570788926027741,0.9995614136371269,2.9390546950736297e-05,0.04600751768652631,0.9996166205074868,2.8749876832518907e-05,0.044991941127575215,0.9996826330555554,2.751494325272036e-05,0.045001467167091615,0.9997959046115877,2.217149335177011e-05,0.04494997761067612
0.849193,-6.544587357139741,-3.5867062451682306,-3.3578662948710423,0.5612750392072142,0.49288246958927523,-0.17883012456763422,-0.6403569214774266,5.5327626153413725,6.204424298037901,-0.7830589246669131,0.7324554525794447,0.1398745372029099,-0.014254971947637566,10.585554406424567,1.6372501952820746,2.9540134693299085,0.005291994051965189,-0.007807724489953377,0.00010793401515843923,4.178999294165057,4.178816853330378,4.178978965116725,4.178999489168422,0.9956327595867288,0.0004795979565744547,0.05892837150882823,0.9995308900233564,3.052361377049312e-05,0.04608469474630201,0.9995863611531989,3.0259354287879178e-05,0.04499157274262549,0.9996530766424261,2.9556413129375466e-05,0.04500219600326886,0.9997714253318811,2.4479279706657474e-05,0.044956990651967184
