t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0.410836,1.107845759468163,-3.315148296359912,-3.4063233030856734,0.22901706498288665,-0.0703013853488185,0.438419629070266,-0.866254731061324,-0.8623460474662795,7.922748460350598,-0.537223211056129,1.6677290908355227,3.6579639450544716,0.2602383675489191,-3.2423988119685667,6.967182979089203,0.1557374727272536,11.586459724005477,13.168803520872586,0.5173028650506031,4.178999035124832,3.401092529700098,4.178998452232833,4.178992157780974,0.9968926791697965,0.0004909745883153758,0.07507476959155664,0.9994048426020223,6.998220509606906e-05,0.05579171507325977,0.9994078159195537,6.970821523294618e-05,0.0471308343785346,0.999431726960957,7.852023914850653e-05,0.04498890832828619,0.9994564827482804,8.855046823342161e-05,0.04505737096154801,0.9998548439564444,1.8493229813921864e-05,0.044882147869167874
0.451919,1.0692813371388732,-2.983800443494518,-3.4281761379793476,0.2002752605320656,0.011154526952183394,0.42161621214703715,-0.8843106183123729,-0.9955554283087773,8.208985343807074,-0.5308249567021628,2.1437424425225853,4.19898565927935,0.28149102595326997,-0.2609133612395844,7.4315563393713076,-0.7463627955587905,0.9252928192230085,2.7436974554756848,0.08712425574228162,4.178998916180053,4.04797691482021,4.178998089549324,4.178991659860385,0.9963202694881149,0.0005724096816815128,0.0783312642769066,0.9993321038620671,7.273873995525262e-05,0.0564068266813568,0.9993350599642303,7.275595532346968e-05,0.047475541798923375,0.999350403657122,8.132330383495423e-05,0.04499073806770646,0.9993660465874655,9.043616081489006e-05,0.04509132684712927,0.9998359488506465,1.8895105797881934e-05,0.04490541049922811
0.493003,1.0277052076468767,-2.640240074080288,-3.450571384908151,0.167162985796703,0.09961085033089391,0.3977713813597058,-0.8966115281619003,-1.0062746856610703,8.514300351636958,-0.5614882191957422,2.181756792605533,4.311706598453749,0.2850704030863212,2.9794211201146727,7.066445097518435,-0.9017502525115091,-1.2325187791474082,0.615099937311579,8.015773492875873e-06,4.178998693729695,4.178980443786027,4.178997406788804,4.178993784521644,0.9956401534641579,0.000680116023957076,0.08132077319312121,0.9992564159446835,7.568791738356893e-05,0.057067571165608226,0.9992589777889387,7.608217529165751e-05,0.04786237716314255,0.9992670563544458,8.334730267624132e-05,0.04499260003037106,0.9992752142466357,9.083234082981859e-05,0.04514396919532118,0.9998167115214082,1.923732923831615e-05,0.044923088468504936
0.534087,0.9884288854546179,-2.284382931764214,-3.474424724618526,0.131915333311152,0.18835905137427633,0.37039498440335156,-0.8999593570308133,-0.8838693722818152,8.80461527919099,-0.5985353561389902,2.1311204973907265,4.336977111600707,0.2850707324030666,6.07184275293617,6.185255388505633,-0.4871330873621951,-1.2398016616112575,0.6003493749550233,1.4984053121778561e-09,4.17899829588597,4.178993504219558,4.178996043003953,4.178995759354816,0.9948131464277451,0.0008270070364127357,0.08390403663101645,0.9991775363936134,7.887955107007812e-05,0.05776098820957109,0.9991793228049867,7.96549839520051e-05,0.048302006522235715,0.999182170974519,8.488537992681329e-05,0.044994513676207125,0.9991850291759611,9.018507067453959e-05,0.04524158239610743,0.9997971806089618,1.953091244639226e-05,0.04493677089173433
0.57517,0.956823577556724,-1.9172864343768217,-3.4995172915254913,0.09537097347898241,0.27556980612015014,0.34036419627577746,-0.893933966259048,-0.6344162788788573,9.058727770724788,-0.6185485317902653,2.0801849952245184,4.361641618703208,0.28507073246462644,8.874465296686711,4.928541463222813,0.3880792671914487,-1.2467376947614917,0.5856517944476163,-2.9051544535134794e-06,4.178997546896998,4.178996678297853,4.178992836561799,4.178997019979737,0.9937786210137514,0.001034525413993765,0.08599359027765359,0.9990951672395523,8.236915406116482e-05,0.05843438524338963,0.9990959119097084,8.341089527828621e-05,0.04875880989340395,0.9990960914794961,8.607949502298043e-05,0.04499647488383263,0.9990962710911973,8.875808476383542e-05,0.045511195855099634,0.9997773970409125,1.978356804932144e-05,0.04494749303182716
0.616254,0.9378807365063778,-1.5407612991209683,-3.5247553855089775,0.05800301337708344,0.360404836565932,0.3079548775166991,-0.878582862903705,-0.26982139218071516,9.261209943599102,-0.6026048425964622,2.0289645359216264,4.3857022964457775,0.2850706131104543,11.276820651176564,3.349504611536466,1.6782807614008404,-1.2533542355489673,0.5707637254997803,-9.808838514508355e-06,4.178995929479222,4.178997919491094,4.178981287792905,4.178997811044306,0.9924378948044934,0.0013407262092579738,0.08756689038061441,0.9990089482465083,8.621899304394501e-05,0.058746885279728114,0.9990091755179836,8.673639172470828e-05,0.0460828588308086,0.9990094031193602,8.66883601359146e-05,0.04499835625518596,0.9990096307842455,8.664030695172962e-05,0.04945100199778413,0.9997573961631329,2.0000877779642878e-05,0.04495597636812571
0.657337,0.9360075057714282,-1.1572091330182057,-3.5483039436033583,0.020291572458762418,0.4420462184365889,0.2734567581447537,-0.8540520067439001,0.19347087503520485,9.398819615112943,-0.5336550452177895,1.9774722453750375,4.409151318879579,0.28507021012816214,13.149229931684204,1.493831122783599,3.33475313327773,-0.5526001282079748,-0.14181386061187448,-0.028659604177812797,4.178991379007522,4.178998517987988,4.135894426211968,4.178998321643972,0.9906192816653724,0.0018186131391210727,0.08866004530138143,0.9989184540706121,9.049417589624823e-05,0.05723157782004556,0.9989186136405938,9.05618773899032e-05,0.046184403782831444,0.9989226102304412,8.679288891904851e-05,0.04500012323540477,0.9989266284077197,8.30023765258676e-05,0.05189449305605712,0.9997372090553504,2.0187107782427943e-05,0.04496274353182014
0.698421,0.9548243947376227,-0.7695385552304196,-3.567663989614262,-0.017354484519705733,0.5194597238660684,0.23692606826693058,-0.8208084295482643,0.7336884359625228,9.460191559308926,-0.39665141737695486,1.954769448710929,4.403325096486066,0.2838927707232298,14.007731654600345,-0.709540081094095,5.323546150802742,8.005005590515138,-8.589680797816087,-0.3750695242716234,4.178950023424278,4.178998820889118,3.6149358486993477,4.17899867340108,0.9879963331613268,0.002622948504045539,0.08935058434262853,0.9988231868405295,9.526723008262736e-05,0.0538599505492448,0.998823827144093,9.478649650069595e-05,0.05130864831889164,0.9988355525272079,8.705770323322745e-05,0.04500200935388856,0.9988474664655346,7.916194218508521e-05,0.05144452799703758,0.9997168630370766,2.0346018273802127e-05,0.04496818178041487
0.739505,0.9966509309741886,-0.38118517275406816,-3.579716336622531,-0.05585931453512912,0.5887160180867143,0.19576884413397921,-0.7822836682632518,1.3091763290093015,9.431041106089973,-0.1779410341824984,2.2836438100069856,4.050430179152601,0.2684835684632589,13.708346935098119,-3.0287889925442864,7.13242518398031,3.8492675538426053,-24.806050637050387,-0.1957106089704487,3.5443194282469106,4.178998996451856,3.2500178347621236,4.1789989223119095,0.9838671112825629,0.004129221878763952,0.08973677899664335,0.9987225074879812,0.0001006793525482276,0.05341057633145057,0.9987256663996343,9.8160744458598e-05,0.053051537170750514,0.9987485516289677,8.700089824021882e-05,0.0450037937339218,0.998772195027771,7.52714377635798e-05,0.050893973018246046,0.9996963822751649,2.048076191178099e-05,0.0449725811830075
0.780588,1.0619614002680229,0.004002609336501891,-3.5811926573244293,-0.09431943725625351,0.6416020882268234,0.14997277501360465,-0.7462966638444315,1.8723644232246146,9.3066075833197,0.11508459213970433,2.4417855369443875,3.0313085848836585,0.2604430742004839,12.63683490559682,-4.933197150311144,8.229938608372345,-12.62672142334588,-43.42570843744693,0.4927490174541574,2.4553267151219798,4.178999139249073,3.196302719184543,4.1789991012829875,0.9764176071545689,0.007449504127993925,0.0899189590534794,0.9986156916427068,0.00010681584527442302,0.05406107078454887,0.9986246025913428,0.0001010638082915934,0.05375341892359528,0.9986617815723704,8.677005659737251e-05,0.045005512110820454,0.9987007702468259,7.142478094508666e-05,0.050345111336424074,0.9996757880926663,2.059418249855738e-05,0.04497616191666147
0.821672,1.1495718618544133,0.38239492519732016,-3.5695937395194406,-0.1254663651174153,0.669675780087124,0.1086560839704568,-0.7238689755502209,2.39153095738745,9.103934138109564,0.4532000091409354,1.9230345009318215,1.2472246183320397,0.2806869724166833,13.287410402823108,-6.077828222117536,8.346518188234397,-29.00030008166793,-28.403741067727974,1.1777044676240944,2.407985928295838,4.17899927109809,4.17897016342311,4.178999197811563,0.959232224441107,0.01718538271346195,0.08998476768887047,0.9985019382509327,0.00011375339177406398,0.05503681903424111,0.9985211936794728,0.00010340891187004205,0.05421341174502534,0.9985757440378122,8.603753455809964e-05,0.045006936845731364,0.9986330655861801,6.770466064586581e-05,0.04982748296637725,0.9996550992451912,2.068884747505711e-05,0.04497909619774599
0.862755,1.2590881151308952,0.7513939847165706,-3.543919775860225,-0.1406507216317001,0.6764671506886536,0.08299965333299056,-0.7181368461280507,2.9374254680277376,8.854235140149536,0.7961049337113707,0.7315980854403537,0.08029698830817619,0.32907129897409443,14.663650272794355,-6.665983391621619,7.997034058043838,-0.02826536017997041,0.24001734029496202,8.862064254576217e-06,4.1789759072706705,4.178999344666201,4.178989304318835,4.178999274030447,0.8876517924115765,0.07158043202953035,0.08999913123648295,0.9983803187455644,0.00012161950536823573,0.05624515266292847,0.9984160938174443,0.00010509986202845334,0.054524168078029,0.9984911295201789,8.46145176332414e-05,0.04500785068093535,0.9985689107382759,6.415484790422494e-05,0.04935146768204589,0.9996343324091066,2.0766836084657322e-05,0.04498152283586482
0.903839,1.3922010483557814,1.1095784491875154,-3.504422755743178,-0.14607983144861367,0.6760806896629603,0.06738583156202253,-0.719051206305669,3.5398608521389,8.580372616814483,1.1246517958420106,0.7304368429938768,0.0901577621198787,0.3290716630595018,14.250280555858806,-6.991880168027418,7.714726846318113,-0.031462347154610264,0.23961265684094266,7.040554736845601e-06,4.178977278126332,4.1789993602292705,4.1789879142575135,4.178999311398447,0.09978562139038488,0.7878661710211917,0.09000000274617335,0.9982496853088768,0.00013063343668766854,0.05769107180021134,0.998310067706368,0.00010602611107629819,0.054692280971109834,0.9984084801528165,8.264936736239926e-05,0.045008243596943644,0.9985081300491582,6.078068911777846e-05,0.04891782889889178,0.9996135028199145,2.0829589192237473e-05,0.04498355321133977
