t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6
0,-5.709636642328456,-2.0197562271039025,-2.3391606328245427,0.790542563604515,0.21939946705198693,-0.3462577885562767,-0.4549855743328822,-1.4462619701043238,3.157712192353643,-1.3006499762370352,0.22198074606648288,-0.12351627199929668,-0.3172665171632034,13.250902357434066,-1.3467872102057719,-0.4372568341225013,-0.0402065600481566,-0.0693787951851698,-2.3041775491492506e-05,4.178999554184929,4.1789927851609985,4.178999704487198,4.178957985572278,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0408834,-5.757661332536076,-1.89178810244704,-2.392720719215493,0.7856883366215972,0.2240494694284422,-0.3488987595230617,-0.4590918519739598,-0.9045198241756018,3.102650931340207,-1.3185265290369754,0.22033696456893978,-0.1263527141050282,-0.31726745918968313,13.004072998019865,-1.3179283871370526,-0.270703486374194,-0.8015231078261241,0.7014100867126368,-0.03131705399539746,4.178999553075945,4.178989405288186,4.1789997005762,4.131895943509138,0.9998287544554889,0.00017124554451113057,0.04751194006618177,0.999961419265354,3.858073464593394e-05,0.049753879415901245,0.9999674618893405,3.253811065942391e-05,0.04498407877092882,0.999973580291346,2.6419708653994764e-05,0.045000505987865896,0.9999801424702743,1.9857529725572407e-05,0.044977158851759624,0.9999872432328263,1.2756767173703609e-05,0.04498572231147456,0.9999958710150307,4.128984969283769e-06,0.032837440913684464
0.0817668,-5.783743337365723,-1.7660468401912228,-2.4468704774944654,0.780946553733471,0.2285339064341166,-0.3511444972115909,-0.4632410559317714,-0.3728689054886415,3.04876951757917,-1.3295938121293203,0.18756796237328358,-0.09767667414171392,-0.3185478073182854,12.819826769316089,-1.2851842378136444,-0.18223000551709878,-0.0345904211951225,-0.055888260523971195,-0.00012701761995245146,4.1789995492087515,4.178983375630288,4.178999692961304,4.178792227937958,0.9996559259006297,0.000172828554859196,0.047535404988758266,0.9999226760457899,3.8743219564098245e-05,0.049769912960888556,0.9999336943533601,3.3767535980368795e-05,0.044983562174773194,0.9999449464450451,2.863384630082194e-05,0.04500171720648686,0.9999577759258855,2.236654438885878e-05,0.044978370693222205,0.9999721135568479,1.5129675978335616e-05,0.044986346942439706,0.9999903668007551,5.504214275602678e-06,0.03726367833550487
0.12265,-5.7882428164014685,-1.642481029715273,-2.5013970872350826,0.7763239746358409,0.2328607134187346,-0.3529926031627407,-0.46743255841361486,0.15124939808843102,2.9962267964778913,-1.3370439971490635,0.18615378781359324,-0.09996157711449098,-0.3185530002324091,12.601033786737998,-1.256993592145168,-0.06870866369221654,-0.032254410876047815,-0.05814355403467976,-1.1346453711442631e-06,4.178999542694979,4.178971417940103,4.178999681834896,4.178969572566544,0.9994807127271694,0.00017521317346023545,0.0475933733412576,0.9998836882066924,3.898783909752477e-05,0.04981599608530634,0.9998987087837804,3.4985569579747304e-05,0.04498305524923616,0.9999141646818936,3.07817631514564e-05,0.04500314811586455,0.9999332284953427,2.4547430542886987e-05,0.044979536484447045,0.9999550898012712,1.7023755576716668e-05,0.04498684631343117,0.9999838515062094,6.515294545657534e-06,0.040535047843367894
0.163534,-5.771498014303514,-1.521039165209389,-2.556133110937917,0.7716436482691933,0.2371293628462752,-0.3548430761084527,-0.47161651444875274,0.6664226972651425,2.944836605254775,-1.3398530419905745,0.18483511733423122,-0.10233868418878758,-0.3185530466205872,12.386454336297751,-1.2332117431967682,0.04276882971015888,-0.032268981495146426,-0.05756564157052221,2.906868396839561e-05,4.178999533588778,4.178943847666406,4.178999667211326,4.178987426350578,0.9993022600425424,0.0001784526846269324,0.04768091094080629,0.9998443715020565,3.931670463587375e-05,0.049885952169286846,0.9998624319358473,3.627684793300964e-05,0.044982575178978114,0.9998811124732263,3.3052208667296686e-05,0.04500502818660091,0.9999065733742999,2.665512104275532e-05,0.044980682876111885,0.9999363493938557,1.8740407415530068e-05,0.04498726211904963,0.999976488562306,7.362943903361177e-06,0.042256250479604456
0.204417,-5.733871093735286,-1.4016778265622494,-2.6108905130950317,0.7669054509491811,0.24133992234046647,-0.35669648020375233,-0.47579269876738267,1.172823255626321,2.894418697241959,-1.3381045061579908,0.1835158511581955,-0.10469216422772866,-0.31855185819350446,12.176020919136976,-1.213711039897678,0.1521241574215642,-0.03160645883364344,-0.05592596101818124,8.635772491240721e-05,4.178999521947432,4.17886314660065,4.178999648995675,4.178992880792875,0.999119641312979,0.0001826187295633877,0.04779958522603449,0.9998046389875639,3.973251449268901e-05,0.049979026085309096,0.999824802823893,3.762911195437903e-05,0.04498212657243873,0.9998457033978286,3.540907539769025e-05,0.04500755588971345,0.9998778507039808,2.8722670318984717e-05,0.04498181271371709,0.9999159886735622,2.0360720293533208e-05,0.044987609258559685,0.999968374384796,8.11417750998574e-06,0.04318175403452735
0.2453,-5.675717227224766,-1.2843608611221813,-2.665484735562237,0.7621099787038226,0.24549269577139363,-0.358551787764683,-0.4799607610780927,1.6706205771729261,2.8447980445833374,-1.331885151032872,0.18222367117136315,-0.1069786085254725,-0.3185483275947611,11.969408536470086,-1.1983167690305152,0.2594890104385204,-0.02626410868455053,-0.049597531666649146,0.0003328473805099281,4.178999507854641,4.178494870248385,4.178999627012427,4.178995273467308,0.9989318368777488,0.00018780443523036652,0.047953285058504484,0.9997644002797851,4.0238707778780866e-05,0.050095807978768045,0.9997857973033523,3.9005520540743305e-05,0.04498171219645701,0.9998079650679149,3.773832991381246e-05,0.045010911642514174,0.9998471097160827,3.074098789815424e-05,0.04498292530401046,0.9998940687383818,2.191993518041687e-05,0.04498789609305785,0.999959574992256,8.799392540131485e-06,0.04372252466875035
0.286184,-5.59738493276723,-1.16905914009314,-2.7197346607813255,0.7572581832962262,0.24959082157348944,-0.3604072438882776,-0.48411887400821635,2.159970878845552,2.7958067622958516,-1.3212763540190582,0.18114990470505973,-0.10900632501700518,-0.31853471965702823,11.761673670380388,-1.1862512879756375,0.3689563940488977,0.08808151698531297,0.06421672002593634,0.005003902536081462,4.178999491453484,4.171471983663015,4.178999601028499,4.178996539555794,0.9987377079672032,0.0001941289105455323,0.04814781957227309,0.9997235607484715,4.0839531313696584e-05,0.050237570140872365,0.9997454245218808,4.037278147149053e-05,0.04498133719185235,0.9997680298523163,3.9935215598610846e-05,0.04501524881649982,0.9998144033563398,3.270635974301175e-05,0.04498402187848948,0.999870628339491,2.3440398890793906e-05,0.044988128578808996,0.9999501400949136,9.434897342302265e-06,0.044063585409033275
0.327067,-5.499220549282105,-1.0557500342484134,-2.7734591541005917,0.7523569717543551,0.25369536448321844,-0.36224912827653577,-0.48823479818224463,2.640828269688108,2.74730875808272,-1.30619215648484,0.18475097795585688,-0.10638092617450014,-0.31833014303086404,11.499958002838444,-1.168318164680294,0.5260888965078127,1.4631210798235657,1.4196840143075673,0.060828692300022455,4.178999472968132,4.08752567016886,4.1789995707695695,4.178997290111817,0.9985359646813763,0.00020174328582683827,0.048391177567299146,0.9996820206418183,4.154010665304739e-05,0.05040610002995138,0.9997037084550985,4.1716066782267337e-05,0.04498101130189993,0.9997260749281606,4.195492415564942e-05,0.0450207116233264,0.9997797683809888,3.463497535100064e-05,0.04498510754812166,0.9998456883166071,2.4940022883887753e-05,0.04498831150780111,0.9999401096211127,1.0030473800877063e-05,0.04429213263585195
0.367951,-5.381617381873013,-0.9444121887796427,-2.8264364701516684,0.7474828947786615,0.2585640309853289,-0.3639256434672546,-0.49190658654784214,3.110985830169466,2.6995439211992664,-1.2846838455747138,0.24456836488969697,-0.04833939483530048,-0.3158432583333729,11.37761120470343,-1.1123340810642885,0.5978839188678112,0.2420646344860408,0.17747946281335725,0.010474860328857687,4.178999452584022,4.163246183324277,4.178999535975625,4.178997769600128,0.9983251285890329,0.00021083609234342625,0.04869401192247341,0.9996396743117818,4.23463300365674e-05,0.050603615877312894,0.9996606679624858,4.3040492612735706e-05,0.04498074879749368,0.9996822656397008,4.3809288459749136e-05,0.04502747137011938,0.999743206865384,3.6561515604822676e-05,0.044986191414208,0.9998192543752829,2.6433941324232137e-05,0.04498844902056344,0.9999295171877305,1.0592433382303282e-05,0.04445254641793285
0.408834,-5.24489618024324,-0.8349840089408331,-2.8784760206437254,0.7426322117583568,0.264266072818246,-0.3654371357777315,-0.49509245659594614,3.576141435675887,2.6540679048638696,-1.2602403089394894,0.254464793902801,-0.04108342822644206,-0.31541501026695534,11.203158528779143,-1.0477200805579492,0.7195174822806572,0.21343324514405387,0.1439124307838902,0.00921871898393932,4.1789994301189175,4.165135422442462,4.178999496380723,4.178998091494852,0.9981034761963737,0.00022165239265903042,0.04907079616214079,0.9995964086898727,4.3265621909129026e-05,0.05083294072452052,0.9996163027827529,4.4365179732841965e-05,0.04498056740948657,0.9996367252490688,4.5540390632054455e-05,0.04503576373641256,0.9997046727967451,3.853406863887482e-05,0.04498728687080514,0.9997913200839857,2.793429129713695e-05,0.044988544440851215,0.9999183921440448,1.1125043685674247e-05,0.04456923376529101
