t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3
0,5.296796594763045,-6.164633604241747,-3.744346868276518,0.6943862203258642,-0.14014698457217112,0.5083502607016918,-0.48965969017411515,-6.657937737241977,0.670050831253515,0.3371511260603326,0.5480447033224781,-0.0032316598375909185,-0.03470562320464873,-9.733542269684916,4.677374790543923,2.0387501512017696,1.7354977453634683,0.02455061981653817,0.0018417947213552166,4.178999516301342,4.124256175935098,4.127025796408125,4.1789995119506544,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0498283,4.95284331206803,-6.12545832364937,-3.7249338883012846,0.6959855126003539,-0.130373738517198,0.5009155041539858,-0.4976851537190265,-7.142943845445293,0.903116582746208,0.43873863131141944,0.634521649120096,-0.002008343572937369,-0.03461384965857846,-9.134472539255114,4.775411156571711,1.635801285901167,2.127432393898801,0.07485651092195453,0.004031003865752577,4.178999482242334,4.1105632145680335,4.116624874904005,4.178999481854864,0.9998832354818862,0.00011676451811381946,0.04789589328925456,0.9999444902052628,5.550979473721934e-05,0.04845981146622825,0.9999732365833418,2.676341665823189e-05,0.04501101284657094,0.9999916006770989,8.399322901056595e-06,0.04484534333252221
0.0996567,4.585458340380368,-6.074554204756384,-3.7009523781467335,0.6976902417047854,-0.11886590028237272,0.4922027811768025,-0.506789548547308,-7.598099312386887,1.1410673221530772,0.5202478695195756,0.7405280419873786,0.0017216309861715659,-0.03441299148763588,-8.52188601938824,4.917223895831449,1.1821468782173954,1.878520275062409,0.24486190373349315,0.011110994960852522,4.178999443080751,4.112900718936972,4.129608977417189,4.178999447699559,0.9997572114517982,0.00012602403008796359,0.04834065103179247,0.999889317874673,5.517233058982948e-05,0.04841283366765817,0.9999461678629322,2.7068720409581716e-05,0.04500966747973657,0.9999807207601511,1.0879916947884498e-05,0.044881946339050544
0.149485,4.196144109073155,-6.0116237352227495,-3.6734668779539397,0.699360848279657,-0.10547762461978062,0.4822024485210481,-0.5169619648705278,-8.022730619088916,1.3860843528294908,0.579152268436567,0.8341315608858006,0.01392268952032029,-0.0338593492189817,-7.868677858285654,5.0919126304505165,0.7045751003999603,1.4694833387330948,0.4872419779564127,0.021109493969842234,4.178999397804762,4.117976795736893,4.149720384638853,4.178999408857452,0.9996200507454335,0.0001371607063647914,0.048931978746660915,0.9998345178153886,5.4800059284352306e-05,0.04836452615063723,0.9999184543077015,2.7713555230658068e-05,0.045009078119845204,0.9999678268994566,1.2893860694472816e-05,0.04490844780749119
0.199313,3.786472544844923,-5.936273275172753,-3.643637372619213,0.7007426885844759,-0.09034604879029252,0.47124127173290026,-0.52794785680368,-8.414813657207398,1.639805830558899,0.6142600655687828,0.9073534543590823,0.038201141181020304,-0.03280749849159117,-6.970406750769923,5.208689447916662,0.3474604063930092,5.130574995343997,0.5095303138099391,0.02219860782141644,4.178999344995598,4.004625875453419,4.038007220673077,4.178999364920928,0.9994694272933257,0.00015062345210772906,0.04971227395317164,0.9997801348894673,5.4382925921326165e-05,0.048312001203272885,0.9998898908450611,2.856346264052992e-05,0.045008755297774185,0.9999530281863273,1.4798713129379507e-05,0.04492800415760044
0.249142,3.3583621455042594,-5.8481458679809,-3.6124943902683797,0.701817830134586,-0.07195409136191903,0.45828527699134336,-0.5406005421463298,-8.762137350588192,1.899346101508533,0.6315734356441635,1.1630014129740078,0.06359018328568591,-0.03170137904517658,-5.76428116567951,5.308797182117623,0.043919290675198314,12.54722633445091,0.11656011141437041,0.0066681081360130115,4.178999282951382,3.7883011605991634,3.7983283580891753,4.178999315741088,0.999302424606224,0.00016700268710179172,0.05074893902953932,0.9997262217355443,5.3913153923035474e-05,0.04825401280549377,0.9998603029369143,2.958790814665404e-05,0.045008573010106655,0.9999363141829588,1.6714003368361464e-05,0.04494268555874273
0.29897,2.9143936617815354,-5.746984695437747,-3.580836085871566,0.7028016242259962,-0.04557614140873238,0.43921054261439996,-0.557751543213111,-9.049361826251397,2.1638745731789957,0.6337618603363508,1.7882086853738415,0.06939817840632134,-0.03136911838543721,-4.464941479848687,5.668039324338335,-0.6312559742305396,14.39806675334921,-0.17463018705290084,-0.004376548110369931,4.178999211100245,3.7397020388612288,3.7331207140309988,4.178999260576535,0.9991153567896658,0.00018706781655819697,0.05213608642775902,0.999672835234803,5.3386500741186966e-05,0.048190043410117005,0.9998295244356399,3.0778501274524204e-05,0.04500847802236996,0.9999176095991713,1.870458378750273e-05,0.04495388068798569
0.348798,2.4576360025919683,-5.632221999457419,-3.549868046525654,0.703079517133194,-0.007380542176435119,0.4098648930274995,-0.5810640779527775,-9.271842381685104,2.446303479087438,0.6023074324560518,2.505640235801526,0.06069664868048534,-0.031587194447323344,-2.900271920586287,6.280284405548042,-1.6825684268085996,10.253754970805973,0.22814940508670944,0.012857832550099198,4.1789991300062095,3.8541563859025083,3.8734914044028996,4.17899919804732,0.9989035029540101,0.00021185383565557354,0.05399970956296661,0.999620030759075,5.280447572790786e-05,0.048120373983748306,0.9997973892817344,3.213515390539434e-05,0.04500844130837784,0.9998967920278438,2.081757132747357e-05,0.04496254925287029
0.398627,1.991628691867326,-5.502633548934872,-3.521760162223305,0.700793168939514,0.04160488667499074,0.3701104656854846,-0.608421043829194,-9.416358073707721,2.7592395319190484,0.518467865948613,3.0165676715768672,0.0720649513994901,-0.030946510187444397,-1.0035409045163879,7.045345396029838,-2.9472279690080683,0.4208696416681006,0.32200301045551005,0.016944619054112067,4.178999038786756,4.153394803356976,4.178875347626969,4.178999124673323,0.998660707813946,0.00024279514006402843,0.05649505549590364,0.9995678547419824,5.217601709265254e-05,0.048046193449345596,0.9997637270482286,3.366223350582995e-05,0.04500844394705496,0.999873697696913,2.3094330930798406e-05,0.04496936845533224
0.448455,1.5206984047301857,-5.356479247715584,-3.4994353242620653,0.6944679685677507,0.09522087771917309,0.32464414371688904,-0.6350223287453355,-9.466362836109404,3.1102972924754417,0.371612432681682,3.037538900889973,0.08810982207490496,-0.03010218820119091,1.3629845733000296,7.343150657164657,-3.5346753260242876,0.0031757054497056074,-0.09129620343749324,5.969651707354831e-06,4.178998888102313,4.178976316026934,4.178985179671527,4.17899900137758,0.9983788058816534,0.0002819019322926302,0.05977482051831134,0.9995163371264829,5.151761549954728e-05,0.047969538822397205,0.9997283616651141,3.536538311436452e-05,0.04500847101472581,0.9998481221294155,2.5575567497480494e-05,0.044974822761983016
